hanji,lomaji
你按呢亂講，會去沖犯著神明。,"Lí án-ne luān-kóng, ē khì tshiong-huān tio̍h sîn-bîng. "
公司每年攏有發獎金予伊。,Kong si muí-nî lóng ū huat tsióng-kim hōo--i. 
這塊西瓜食著沙沙。,Tsit tè si-kue tsia̍h tio̍h sua-sua. 
這塊桌仔摸著沙沙，愛拭拭咧。,"Tsit tè toh-á bong tio̍h sua-sua, ài tshit-tshit--leh. "
我看著有人佇水底沐沐泅。,Guá khuànn-tio̍h ū-lâng tī tsuí-té bo̍k-bo̍k-siû. 
頭家做伊走，人客做一睏來一二十个，害店員佇店裡沐沐泅。,"Thâu-ke tsò i tsáu, lâng-kheh tsò tsi̍t khùn lâi it-jī-tsa̍p ê, hāi tiàm-uân tī tiàm--lí bo̍k-bo̍k-siû. "
今仔日欲迎媽祖，街仔路鬧熱甲沖沖滾。,"Kin-á-ji̍t beh ngiâ Má-tsóo, ke-á-lōo lāu-jia̍t kah tshiâng-tshiâng-kún. "
水坐清了後，塗沙攏沉底矣。,"Tsuí tsē-tshing liáu-āu, thôo-sua lóng tîm-té--ah. "
伊的家伙真沉底。,I ê ke-hué tsin tîm-té. 
阿爸今仔日去菜園仔沃肥。,A-pah kin-á-ji̍t khì tshài-hn̂g-á ak-puî. 
我無佇的這段時間，你愛會記得沃花。,"Guá bô tī--ê tsit tuānn sî-kan, lí ài ē-kì-tit ak-hue. "
雨幔穿咧，較袂沃雨。,"Hōo-mua tshīng--leh, khah bē ak-hōo. "
伊佇溪仔墘咧汰衫。,I tī khe-á-kînn teh thuā-sann. 
伊的心情真沉重。,I ê sim-tsîng tsin tîm-tāng. 
咱毋通佇沙埔地種作。,Lán m̄-thang tī sua-poo-tē tsìng-tsoh. 
伊做人真豪爽，袂沙屑。,"I tsò-lâng tsin hô-sóng, bē sua-sap. "
這盤蚶仔沙屑真濟。,Tsit puânn ham-á sua-sap tsin tsē. 
這款代誌求神問佛嘛無效。,Tsit khuán tāi-tsì kiû-sîn-mn̄g-pu̍t mā bô-hāu. 
好佳哉有你替我求情，若無，我就慘矣。,"Hó-ka-tsài ū lí thè guá kiû-tsîng, nā-bô, guá tō tshám--ah. "
這間厝看起來真束結。,Tsit king tshù khuànn--khí-lâi tsin sok-kiat. 
伊拄仔睏醒，目睭沙微沙微。,"I tú-á khùn-tshénn, ba̍k-tsiu sa-bui-sa-bui. "
士林夜市仔敢若阮兜的灶跤咧！,Sū-lîm iā-tshī-á kánn-ná guán tau ê tsàu-kha--leh! 
全伊的步數了了，連鞭這連鞭彼。,"Tsuân i ê pōo-sòo--liáu-liáu, liâm-mi tse liâm-mi he. "
我欲步輦去公園𨑨迌，你欲鬥陣來去無？,"Guá beh pōo-lián khì kong-hn̂g tshit-thô, lí beh tàu-tīn lâi-khì--bô? "
雨水共花沃澹矣。,Hōo-tsuí kā hue ak-tâm--ah. 
結婚了後攏會予家庭束縛。,Kiat-hun liáu-āu lóng ē hōo ka-tîng sok-pa̍k. 
昨暗落大雨，阿英𪜶兜煞做水災。,"Tsa-àm lo̍h tuā hōo, A-ing in tau suah tsò-tsuí-tsai. "
雞災,ke-tse
著災,tio̍h-tse
夭壽災,iáu-siū-tse
雞牢,ke-tiâu
豬牢,ti-tiâu
一牢雞牢,tsi̍t tiâu ke-tiâu
牢鼎,tiâu-tiánn
我的指頭仔去予糊仔黏牢咧。,Guá ê tsíng-thâu-á khì hōo kôo-á liâm-tiâu--leh. 
薰食牢咧毋好，你著愛改。,"Hun tsia̍h tiâu--leh m̄ hó, lí tio̍h ài kái. "
伊考牢大學矣。,I khó-tiâu tāi-ha̍k--ah. 
阮小弟的風吹牢佇樹仔頂提袂落來。,Guán sió-tī ê hong-tshue tiâu tī tshiū-á-tíng the̍h bē lo̍h--lâi. 
掠狂,lia̍h-kông
起狂,khí-kông
狂風暴雨,kông-hong-po̍k-ú
狂電影,kông tiān-iánn
伊行甲足狂的。,I kiânn kah tsiok kông--ê. 
這隻狗仔當咧狂。,Tsit tsiah káu-á tng teh kông. 
男人,lâm-jîn
長男,tióng-lâm
生疔仔,senn ting-á
收疕矣。,Siu phí--ah. 
鼎疕,tiánn-phí
草疕,tsháu-phí
囡仔疕,gín-á-phí
螺仔疕,lê-á-phí
烏白亂皂,oo-pe̍h luān tsō
藥皂,io̍h-tsō
我食飽矣。,Guá tsia̍h-pá--ah. 
私業,su gia̍p
公私分明,kong su hun-bîng
私生活,su sing-ua̍h
中文系,Tiong-bûn hē
派系,phài-hē
你今仔日哪會遮爾仔罕行？,Lí kin-á-ji̍t ná ē tsiah-nī-á hán-kiânn? 
腹肚,pak-tóo
跤肚,kha-tóo
腰肚,io-tóo
大肚,tuā-tōo
豬肚,ti-tōo
烏漉肚,oo-lok-tōo
肝膽相照,kan-tám siong-tsiàu
粉肝,hún-kuann
豬肝,ti-kuann
育飼,io-tshī
好育,hó-io
男子漢大丈夫，我若講會到就做會到。,"Lâm-tsú-hàn tāi-tiōng-hu, guá nā kóng ē kàu tō tsò ē kàu. "
牡丹鄉,Bóo-tan-hiong
做代誌袂使有私心的。,Tsò tāi-tsì bē-sái ū su-sim--ê. 
生疔仔,senn ting-á
這間學校是國立的抑是私立的？,Tsit king ha̍k-hāu sī kok-li̍p--ê ia̍h-sī su-li̍p--ê? 
阮兩人的私交誠好。,Guán nn̄g lâng ê su-kau tsiânn hó. 
爸母育囝真辛苦，咱大漢了後愛有孝爸母。,"Pē-bú io-kiánn tsin sin-khóo, lán tuā-hàn liáu-āu ài iú-hàu pē-bú. "
育囡仔是一件無簡單的代誌。,Io gín-á sī tsi̍t kiānn bô kán-tan ê tāi-tsì. 
真罕行，你今仔日哪有閒通來？,"Tsin hán-kiânn, lí kin-á-ji̍t ná ū-îng thang lâi? "
雙頭蛇真罕見。,Siang-thâu-tsuâ tsin hán-kiàn. 
我藏佇衫仔櫥的私奇去予阮阿母揣著矣。,Guá tshàng tī sann-á-tû ê sai-khia khì hōo guán a-bú tshuē--tio̍h--ah. 
阮阿母定定共我講私奇話。,Guán a-bú tiānn-tiānn kā guá kóng sai-khia-uē. 
歹囡仔上驚秀梳仔。,Pháinn gín-á siōng kiann siù-se-á. 
你罕得來，加坐一下仔。,"Lí hán-tit lâi, ke tsē--tsi̍t-ē-á. "
食甲肚脹無健康，略略仔飽就好。,"Tsia̍h kah tóo-tiòng bô kiān-khong, lio̍h-lio̍h-á pá tō hó. "
伊的肚腸誠狹。,I ê tōo-tn̂g tsiânn e̍h. 
這个囡仔真歹育飼。,Tsit ê gín-á tsin pháinn-io-tshī. 
你莫定定用手去挖肚臍。,Lí mài tiānn-tiānn iōng tshiú khì óo tōo-tsâi. 
伊三十歲爾爾就禿額矣。,I sann-tsa̍p huè niā-niā tō thuh-hia̍h--ah. 
罕見,hán-kiàn
見跋見輸,kiàn pua̍h kiàn su
見識,kiàn-sik
見解,kiàn-kái
敢有見校長？,Kám ū kìnn hāu-tiúnn? 
見風,kìnn-hong
見著鬼,kìnn-tio̍h-kuí
見講見著,kìnn kóng kìnn tio̍h
聽見,thiann-kìnn
看見,khuànn-kìnn
見生死,kìnn-senn-sí
這隻牛的角真長。,Tsit tsiah gû ê kak tsin tn̂g. 
伊的頭去挵著桌角。,I ê thâu khì lòng-tio̍h toh-kak. 
斡角,uat kak
恁兜倚佇佗一角？,Lín tau uá tī tó tsi̍t kak? 
伊是這齣戲的主角。,I sī tsit tshut hì ê tsú-kak. 
阮兜門跤口囥一堆磚仔角。,Guán tau mn̂g-kha-kháu khǹg tsi̍t tui tsng-á-kak. 
語言,gú-giân
方言,hong-giân
七言詩,tshit giân si
紅豆,âng-tāu
綠豆,li̍k-tāu
赤砂,tshiah-sua
褪赤跤,thǹg-tshiah-kha
這尾魚仔煎了有赤。,Tsit bué hî-á tsian liáu ū tshiah. 
伊走無去矣。,I tsáu bô--khì--ah. 
緊走！,Kín tsáu! 
伊才走無偌久。,I tsiah tsáu bô-guā-kú. 
好膽莫走！,Hó-tánn mài tsáu! 
走無路,tsáu bô-lōo
出外四界走,tshut-guā sì-kè tsáu
走音,tsáu-im
走精,tsáu-tsing
滿足,buán-tsiok
充足,tshiong-tsiok
兩斗足,nn̄g táu tsiok
伊足足講一點鐘的電話。,I tsiok-tsiok kóng tsi̍t tiám-tsing ê tiān-uē. 
足好看,tsiok hó-khuànn
足懸的,tsiok kuân--ê
遠足,uán-tsiok
手足,tshiú-tsiok
伊干焦一身人爾爾，無長半項。,"I kan-na tsi̍t sian lâng niā-niā, bô tiòng puànn hāng. "
一身神明,tsi̍t sian sîn-bîng
三身尪仔,sann sian ang-á
三身娘仔,sann sian niû-á
身軀,sin-khu
本身,pún-sin
親身,tshin-sin
車身,tshia-sin
伊有身矣。,I ū-sin--ah. 
出身,tshut-sin
火車,hué-tshia
計程車,kè-thîng-tshia
紡紗車,pháng-se-tshia
風車,hong-tshia
車衫,tshia sann
三年辛班,sann nî sin pan
辛苦,sin-khóo
辰時,sîn-sî
良辰美景,liông-sîn bí-kíng
生辰,sing-sîn
那行那看,ná kiânn ná khuànn
伊那來那媠。,I ná lâi ná suí. 
邪氣,siâ-khì
邪不鬥正,siâ put tàu tsìng
你莫予伊邪去。,Lí mài hōo i siâ--khì. 
酉時,iú-sî
點燈酉,tiám ting iú
鄉里,hiunn-lí
里長,lí-tiúnn
五里路,gōo lí lōo
阮欲走矣，你咧？,"Guán beh tsáu--ah, lí--leh? "
阮欲來去食飯矣！,Guán beh lâi-khì tsia̍h pn̄g--ah! 
阮媽媽,guán má-mah
防備,hông-pī
國防,kok-hông
防水,hông-tsuí
防火,hông-hué
遮是走山了後才變成按呢。,Tsia sī tsáu-suann liáu-āu tsiah piàn-sîng án-ne. 
咱做人著愛憑良心，毋通做失德的代誌。,"Lán tsò-lâng tio̍h ài pîn liông-sim, m̄-thang tsò sit-tik ê tāi-tsì. "
車手愛扞予伊好，才袂跋倒。,"Tshia-tshiú ài huānn hōo i hó, tsiah bē pua̍h-tó. "
用車仔車糾帶。,Īng tshia-á tshia kiù-tuà. 
伊逐工透早攏愛啉豆奶食包仔。,I ta̍k kang thàu-tsá lóng ài lim tāu-ling tsia̍h pau-á. 
你毋通為著小可仔物件就來赤目。,Lí m̄-thang uī-tio̍h sió-khuá-á mi̍h-kiānn tō lâi tshiah-ba̍k. 
這領衫洗了會走色。,Tsit niá sann sé liáu ē tsáu-sik. 
伊四十歲矣，身材閣保持甲真好。,"I sì-tsa̍p huè--ah, sin-tsâi koh pó-tshî kah tsin hó. "
𪜶走私毒品去予警察掠著。,In tsáu-su to̍k-phín khì hōo kíng-tshat lia̍h--tio̍h. 
感情走私,kám-tsîng tsáu-su
這杯咖啡囥傷久，已經走味去矣。,"Tsit pue ka-pi khǹg siunn kú, í-king tsáu-bī--khì--ah. "
伊真荏身命。,I tsin lám-sin-miā. 
請你莫見怪。,Tshiánn lí mài kiàn-kuài. 
搵豆油,ùn tāu-iû
伊去予大水流去，揣無身屍。,"I khì hōo tuā-tsuí lâu--khì, tshuē-bô sin-si. "
彼間厝已經予人拆甲無身屍啦！,Hit king tshù í-king hōo lâng thiah kah bô sin-si--lah! 
彼幾箱物件囥佇車後斗就好矣。,Hit kuí siunn mi̍h-kiānn khǹg tī tshia-āu-táu tō hó--ah. 
見若拄著王的，伊就會受氣。,"Kiàn-nā tú-tio̍h Ông--ê, i tō ē siū-khì. "
爸母飼囝真辛苦。,Pē-bú tshī kiánn tsin sin-khóo. 
請你辛苦去一逝。,Tshiánn lí sin-khóo khì--tsi̍t-tsuā. 
辛苦囉！歇睏一下。,Sin-khóo--loh! Hioh-khùn--tsi̍t-ē. 
初見面就予伊請，你敢袂歹勢？,"Tshoo kìnn-bīn tō hōo i tshiánn, lí kám bē pháinn-sè? "
伊唱歌攏走音去矣，有夠歹聽的。,"I tshiùnn kua lóng tsáu-im--khì--ah, ū-kàu pháinn-thiann--ê. "
彼个外國人講臺語攏走音去。,Hit ê guā-kok-lâng kóng Tâi-gí lóng tsáu-im--khì. 
你去叫彼个走桌的閣捾兩罐酒來！,Lí khì kiò hit ê tsáu-toh--ê koh kuānn nn̄g kuàn tsiú lâi! 
伊見笑轉受氣，講話才會大細聲。,"I kiàn-siàu tńg siū-khì, kóng-uē tsiah ē tuā-sè-siann. "
做人愛知見笑。,Tsò-lâng ài tsai kiàn-siàu. 
這種見笑代以後毋通閣發生。,Tsit tsióng kiàn-siàu-tāi í-āu m̄-thang koh huat-sing. 
這陣我當咧無閒，走袂開跤。,"Tsit-tsūn guá tng-teh bô-îng, tsáu-bē-khui-kha. "
水雄雄淹起來，想欲走嘛走袂離。,"Tsuí hiông-hiông im--khí-lâi, siūnn-beh tsáu mā tsáu-bē-lī. "
我這久無閒，袂走閃得。,"Guá tsit-kú bô-îng, bē-tsáu-siám--tit. "
人生親像走馬燈。,Jîn-sing tshin-tshiūnn tsáu-bé-ting. 
阮阿公上愛食豆乾。,Guán a-kong siōng ài tsia̍h tāu-kuann. 
有的歌手自細漢就四界去走唱。,Ū ê kua-tshiú tsū sè-hàn tō sì-kè khì tsáu-tshiùnn. 
阮阿媽提豆粕去飼豬。,Guán a-má the̍h tāu-phoh khì tshī ti. 
這間店的頭家欲倩兩个辛勞。,Tsit king tiàm ê thâu-ke beh tshiànn nn̄g ê sin-lô. 
伊一直咧走揣當年失散的查某囝。,I it-ti̍t teh tsáu-tshuē tong-nî sit-suànn ê tsa-bóo-kiánn. 
伊的言詞文雅，閣誠有學問。,"I ê giân-sû bûn-ngá, koh tsiânn ū ha̍k-būn. "
三塊厝這角勢有真濟番麥。,Sann-tè-tshù tsit kak-sì ū tsin tsē huan-be̍h. 
伊為𪜶囝的代誌走傱。,I uī in kiánn ê tāi-tsì tsáu-tsông. 
愈狂愈走傱,jú kông jú tsáu-tsông
赤跤逐鹿，穿鞋食肉。,"Tshiah-kha jiok lo̍k, tshīng ê tsia̍h bah. "
欲看病千萬毋通揣赤跤仙仔。,Beh khuànn-pēnn tshian-bān m̄-thang tshuē tshiah-kha-sian-á. 
這馬伊當咧走路。,Tsit-má i tng-teh tsáu-lōo. 
佇社會上走跳，目色愛金。,"Tī siā-huē-siōng tsáu-thiàu, ba̍k-sik ài kim. "
這个囡仔真𠢕走跳。,Tsit ê gín-á tsin gâu tsáu-thiàu. 
這个時鐘走精去矣。,Tsit ê sî-tsing tsáu-tsing--khì--ah. 
伊做的豆腐軟閣幼，真好食。,"I tsò ê tāu-hū nńg koh iù, tsin hó-tsia̍h. "
阮兜攏提豆餅咧飼豬。,Guán tau lóng the̍h tāu-piánn teh tshī ti. 
每一个人攏有言論自由。,Muí tsi̍t ê lâng lóng ū giân-lūn tsū-iû. 
伊車禍去挵一下角齒斷去。,I tshia-hō khì lòng tsi̍t-ē kak-khí tn̄g--khì. 
這角勢有真濟角頭。,Tsit kak-sì ū tsin tsē kak-thâu. 
鋟鋟嚵，紅龜包豆餡。公仔食，婆仔罵。公仔攑扁擔，婆仔喝毋敢。,"Tshím-tshím-tshànn, âng-ku pau tāu-ānn. Kong--á tsia̍h, pô--á mā. Kong--á gia̍h pín-tann, pô--á huah m̄ kánn. "
借問一下，我欲去車頭愛按佗位行？,"Tsioh-mn̄g--tsi̍t-ē, guá beh khì tshia-thâu ài àn tó-uī kiânn? "
這台計程車的車頭去予卡車挵甲凹落去。,Tsit tâi kè-thîng-tshia ê tshia-thâu khì hōo khah-tshia lòng kah nah--lo̍h-khì. 
你先去看有啥物車幫。,Lí sing khì khuànn ū siánn-mih tshia-pang. 
見擺你都按呢講，見擺攏做袂好勢。,"Kiàn-pái lí to án-ne kóng, kiàn-pái lóng tsò bē hó-sè. "
伊耍甲規身軀烏趖趖。,I sńg kah kui-sin-khu oo-sô-sô. 
伊身軀邊無半个人。,I sin-khu-pinn bô puànn ê lâng. 
我身軀邊無紮半角銀。,Guá sin-khu-pinn bô tsah puànn kak gîn. 
我蹛佇𪜶身軀邊仔。,Guá tuà tī in sin-khu-pinn-á. 
紅尾冬，較贏食赤鯮。,"Âng-bué-tang, khah iânn tsia̍h tshiah-tsang. "
伊身懸較矮人，講話顛倒較大聲。,"I sin-kuân khah é--lâng, kóng-uē tian-tò khah tuā-siann. "
並列,pīng lia̍t
並無,pīng bô
並毋是,pīng m̄-sī
相比並,sio pí-phīng
伊並我較用功。,I phīng guá khah iōng-kong. 
你並愛哭的。,Lí phīng ài khàu--ê. 
彼堵壁足垃圾，你毋通並佇遐。,"Hit tóo piah tsiok lah-sap, lí m̄-thang phīng tī hia. "
乖巧,kuai-khá
乖僻,kuai-phiah
故事,kòo-sū
國家大事,kok ka tāi sū
閒下無事,hân hā bô-sū
事志,tāi-tsì
可憐事,khó-liân-tāi
伊專門佬人的錢。,I tsuan-bûn láu lâng ê tsînn. 
佬伊的話。,Láu i ê uē. 
佬仔,láu-á
佬仔步,láu-á pōo
我欲佮你結婚。,Guá beh kah lí kiat-hun. 
食魚食肉，也著菜佮。,"Tsia̍h hî tsia̍h bah, iā tio̍h tshài kah. "
頭家！佮兩支蔥仔好無？,Thâu-ke! Kah nn̄g ki tshang-á hó--bô? 
佮意,kah-ì
佮喙,kah-tshuì
相佮,sann-kap
佯毋知,tènn-m̄-tsai
佯悾悾,tènn-khong-khong
使暗步,sái àm-pōo
使袂行,sái bē kiânn
使目尾,sái-ba̍k-bué
會使,ē-sái
袂使,bē-sái
使性地,sái-sìng-tē
使人感動。,Sú lâng kám-tōng. 
使用,sú-iōng
𪜶規家攏來。,In kui ke lóng lâi. 
來往,lâi-óng
來來去去,lâi-lâi-khì-khì
來一碗麵。,Lâi tsi̍t uánn mī. 
免趕緊，沓沓仔來就好。,"Bián kuánn-kín, ta̍uh-ta̍uh-á lâi tō hó. "
講袂來,kóng bē lâi
做會來,tsò ē lâi
我來唱歌，你來跳舞。,"Guá-lâi tshiùnn-kua, lí lâi thiàu-bú."
舉例,kí-lē
伊供出真濟人。,I king-tshut tsin tsē lâng. 
反供,huán-king
認供,jīn king
供天公,kìng Thinn-kong
供四果,kìng sù kó
伊逐項代誌攏佯毋知。,I ta̍k hāng tāi-tsì lóng tènn-m̄-tsai. 
公親變事主。,Kong-tshin piàn sū-tsú. 
阿達仔是一个佬仔，你毋通予伊騙去。,"A-ta̍t-á sī tsi̍t ê láu-á, lí m̄-thang hōo i phiàn--khì. "
我欲先來去矣。,Guá beh sing lâi-khì--ah. 
咱來去看電影好無？,Lán lâi-khì khuànn tiān-iánn hó--bô? 
我欲來去踅街。,Guá beh lâi-khì se̍h-ke.
這个囡仔真乖巧。,Tsit ê gín-á tsin kuai-khá. 
物件就是你提的，莫佇遐咧佯生啦！,"Mi̍h-kiānn tō sī lí the̍h--ê, mài tī hia teh tènn-tshenn--lah! "
小旦上𠢕共人使目尾。,Sió-tuànn siōng gâu kā lâng sái-ba̍k-bué. 
我共伊使目尾，伊煞看無。,"Guá kā i sái-ba̍k-bué, i suah khuànn bô. "
我看伊定定共你使目箭，無的確是對你有意思。,"Guá khuànn i tiānn-tiānn kā lí sái-ba̍k-tsìnn, bô-tik-khak sī tuì lí ū ì-sù. "
我共伊使目箭，伊就共話吞落去矣。,"Guá kā i sái-ba̍k-tsìnn, i tō kā uē thun--lo̍h-khì--ah. "
伊極𠢕共人使弄。,I ki̍k gâu kā lâng sái-lōng. 
伊規年迵天攏佇美國佮日本來來去去。,I kui-nî-thàng-thinn lóng tī Bí-kok kah Ji̍t-pún lâi-lâi-khì-khì. 
來往著愛幾日？,Lâi-óng tio̍h ài kuí ji̍t? 
你毋通閣佮伊來往矣。,Lí m̄-thang koh kah i lâi-óng--ah. 
伊定定使性地，所以逐家攏無愛佮伊做伙。,"I tiānn-tiānn sái-sìng-tē, sóo-í ta̍k-ke lóng bô ài kah i tsò-hué. "
我真佩服伊。,Guá tsin puē-ho̍k--i. 
佳哉你有紮雨傘，無，咱就愛沃雨矣。,"Ka-tsài lí ū tsah hōo-suànn, bô, lán tō ài ak-hōo--ah. "
事後才來彌補就袂赴矣。,Sū-āu tsiah lâi mí-póo tō bē-hù--ah. 
這個月無來洗。,Tsit kò gue̍h bô lâi-sé. 
伊彼个人萬項代誌攏愛人侍候。,I hit ê lâng bān-hāng tāi-tsì lóng ài lâng sū-hāu. 
法律事務,huat-lu̍t sū-bū 
法律事務所,huat-lu̍t sū-bū-sóo
日本料理我較食都袂佮喙。,Ji̍t-pún liāu-lí guá khah tsia̍h to bē kah-tshuì. 
𪜶兩人的佳期就定佇十月初六。,In nn̄g lâng ê ka-kî tō tīng tī tsa̍p-gue̍h tshe-la̍k. 
伊閣佇遐佯痟矣。,I koh tī hia tènn-siáu--ah. 
我所佮意的人就是你。,Guá sóo kah-ì ê lâng tō sī lí. 
觀光事業,kuan-kong sū-gia̍p
慈善事業,tsû-siān sū-gia̍p
伊事業做了袂䆀。,I sū-gia̍p tsò liáu bē-bái. 
來路不明,lâi-lōo put bîng
有去路，無來路。,"Ū khì lōo, bô lâi-lōo. "
你莫佇遐咧佯顛佯戇。,Lí mài tī hia teh tènn-tian-tènn-gōng. 
𪜶真𠢕共人供體。,In tsin gâu kā lâng king-thé. 
伊上𠢕佯戇。,I siōng gâu tènn-gōng. 
毋去學一个工夫，規工坐佇遐，直直侗戇去。,"M̄ khì o̍h tsi̍t ê kang-hu, kui kang tsē tī hia, ti̍t-ti̍t tòng-gōng--khì. "
隱痀的交侗戇。,Ún-ku--ê kau tòng-gōng. 
兩岸,lióng huānn
兩全其美,lióng tsuân kî bí
半斤八兩,puànn kin peh niú
五兩金仔,gōo niú kim-á
兩蕊目睭,nn̄g luí ba̍k-tsiu
兩對雙生仔,nn̄g tuì siang-senn-á
任其自然,jīm kî tsū jiân
人盡其才,jîn tsīn kî tsâi
量其大約,liōng kî tāi iok
一具棺柴,tsi̍t khū kuann-tshâ
工具,kang-khū
辭典,sû-tián
法典,huat-tián
月初,gue̍h-tshe
初一,tshe-it
初十,tshe-tsa̍p
當初,tong-tshoo
起初,khí-tshoo
初見面,tshoo-kìnn-bīn
初級,tshoo-kip
初中,tshoo-tiong
趕緊共你的喙䫌刮刮咧！,Kuánn-kín kā lí ê tshuì-phué kueh-kueh--leh! 
阮逐擺行過遐，攏會予樹枝刮著。,"Guán ta̍k pái kiânn kuè hia, lóng ē hōo tshiū-ki kueh--tio̍h. "
趕緊共你跤底的塗沙刮刮咧！,Kuánn-kín kā lí kha-té ê thôo-sua khe-khe--leh! 
伊講話攏會共人刮。,I kóng-uē lóng ē kā lâng khe. 
到位矣。,Kàu-uī--ah. 
到厝矣。,Kàu tshù--ah. 
時間到矣。,Sî-kan kàu--ah. 
到今為止,kàu-tann uî tsí
你拍五筒，我就到矣！,"Lí phah gōo-tông, guá tō kàu--ah! "
總統制,tsóng-thóng-tsè
債券,tsè-kǹg
彩券,tshái kuàn
證券,tsìng-kuàn
玫瑰有刺，愛小心。,"Muî-kuì ū tshì, ài sió-sim. "
魚刺,hî-tshì
伊足刺的。,I tsiok tshiah--ê. 
刺查某,tshiah-tsa-bóo
刺膨紗,tshiah-phòng-se
刺花,tshiah-hue
刺酸,tshiah-sng
刺人的根底。,Tshiah lâng ê kin-té. 
刺豬血,tshiah ti-hueh
刺龍刺鳳,tshiah liông tshiah hōng
刻字,khik jī
刻印仔,khik-ìn-á
午時三刻,ngóo sî sann khik
雞去剁剁咧通好食。,Ke khì tok-tok--leh thang-hó tsia̍h. 
倒匼,tò-khap
兵卒,ping-tsut
小卒仔,sió tsut-á
卜卦,pok-kuà
一卷衛生紙。,Tsi̍t kńg uē-sing-tsuá. 
第二卷,tē jī kuàn
頂下卷,tíng-ē kuàn
卸任,sià-jīm
卸責任,sià tsik-jīm
卸貨,sià-huè
卸貨底,sià huè-té
卸面子,sià bīn-tsú
阿叔,a-tsik
阿火叔,A-hué-tsik
小叔仔,sió-tsik-á
叔伯的,tsik-peh--ê
後叔,āu-tsik
分文不取,hun bûn put tshú
取藥材,tshú io̍h-tsâi
有一步取,ū tsi̍t pōo tshú
歡喜做，甘願受。,"Huann-hí tsò, kam-guān siū. "
受傷,siū-siong
𪜶後生這馬讀初一。,In hāu-senn tsit-má tha̍k tshoo-it. 
咱就愛協力共代誌做予好。,Lán tō ài hia̍p-li̍k kā tāi-tsì tsò hōo hó. 
這件代誌其中必有緣故。,Tsit kiānn tāi-tsì kî-tiong pit iú iân-kòo. 
到今你才知！,Kàu-tann lí tsiah tsai! 
西瓜到分食較甜。,Si-kue kàu-hun tsia̍h khah tinn. 
粗重的予你，其他的代誌你予我做就好。,"Tshoo-tāng--ê hōo-lí, kî-thann ê tāi-tsì lí hōo guá tsò tō hó. "
卒仔食過河。,Tsut-á tsia̍h kuè hô. 
小卒仔嘛會變英雄。,Sió tsut-á mā ē piàn ing-hiông. 
你莫佇遐卸世眾，好無？,"Lí mài tī hia sià-sì-tsìng, hó--bô? "
伊這个人看起來兩光兩光。,I tsit ê lâng khuànn--khí-lâi lióng-kong-lióng-kong. 
請你來警察局協同警方辦案。,Tshiánn lí lâi kíng-tshat-kio̍k hia̍p-tông kíng-hong pān-àn. 
氣到地矣，共台仔拆掉。,"Khì kàu-tè--ah, kā tâi-á thiah-tiāu. "
火車閣十分鐘就會到位矣。,Hué-tshia koh tsa̍p hun-tsing tō ē kàu-uī--ah. 
伊佮阿明是叔伯兄弟。,I kah A-bîng sī tsik-peh-hiann-tī. 
我佮伊是叔伯的。,Guá kah i sī tsik-peh--ê. 
若無經過初步的訓練，伊無可能通過這擺的考試。,"Nā-bô king-kuè tshoo-pōo ê hùn-liān, i bô khó-lîng thong-kuè tsit pái ê khó-tshì. "
初見面，請你多多指教。,"Tshoo-kìnn-bīn, tshiánn lí to-to tsí-kàu. "
初初見面的時，我就誠佮意你。,"Tshoo-tshoo kìnn-bīn ê sî, guá tō tsiânn kah-ì--lí. "
你到底欲創啥？,Lí tàu-té beh tshòng siánn? 
這馬的少年家真愛佇身軀頂刺花。,Tsit-má ê siàu-liân-ke tsin ài tī sin-khu tíng tshiah-hue. 
惹熊惹虎，毋通惹著刺查某。,"Jiá hîm jiá hóo, m̄-thang jiá-tio̍h tshiah-tsa-bóo. "
我拄仔對田裡轉來，規身軀足刺疫的！,"Guá tú-á tuì tshân--lí tńg--lâi, kui-sin-khu tsiok tshiah-ia̍h--ê! "
我看著伊就刺疫。,Guá khuànn-tio̍h i tō tshiah-ia̍h. 
到時你就知。,Kàu-sî lí tō tsai. 
你莫閣受氣矣！,Lí mài koh siū-khì--ah! 
我才無愛卸祖公。,Guá tsiah bô-ài sià-tsóo-kong. 
話會使好好仔講，毋免按呢刺耙耙。,"Uē ē-sái hó-hó-á kóng, m̄-bián án-ne tshiah-pê-pê. "
刺探軍情,tshì-thàm kun-tsîng
逐家來鬥卸貨。,Ta̍k-ke lâi tàu sià-huè. 
彼間百貨公司咧卸貨底。,Hit king pah-huè kong-si teh sià-huè-té. 
這張支票已經到期矣。,Tsit tiunn tsi-phiò í-king kàu-kî--ah. 
彼个囡仔真受債。,Hit ê gín-á tsin siū-tsè. 
你送遮爾大的禮，我受當袂起。,"Lí sàng tsiah-nī tuā ê lé, guá siū-tong-bē-khí. "
甘願受罪,kam-guān siū-tsuē
爸老囝幼，伊真受罪。,"Pē-lāu-kiánn-iù, i tsin siū-tsuē. "
其實，我佮意你誠久矣。,"Kî-si̍t, guá kah-ì lí tsiânn kú--ah. "
你這个卑鄙的小人。,Lí tsit ê pi-phí ê siáu-jîn. 
騎機車無戴安全帽仔會予警察取締。,Khiâ ki-tshia bô tì an-tsuân-bō-á ē hōo kíng-tshat tshú-tè. 
伊真𠢕刺膨紗。,I tsin gâu tshiah-phòng-se. 
你無講較具體的，我聽無。,"Lí bô kóng khah kū-thé--ê, guá thiann-bô. "
