"hanji","lomaji"
"走袂開跤","tsáu-buē-khui-kha"
"走袂離","tsáu-bē-lī"
"走袂離","tsáu-buē-lī"
"走音","tsáu-im"
"走書","tsáu-tsu"
"走桌的","tsáu-toh--ê"
"走閃","tsáu-siám"
"走馬燈","tsáu-bé-ting"
"走唱","tsáu-tshiùnn"
"走訪","tsáu-hóng"
"走赦馬","tsáu-sià-bé"
"走揣","tsáu-tshē"
"走揣","tsáu-tshuē"
"走無路","tsáu-bô-lōo"
"走街仔仙","tsáu-ke-á-sian"
"走街仔仙","tsáu-kue-á-sian"
"走傱","tsáu-tsông"
"走腹","tsáu-pak"
"走跳","tsáu-thiàu"
"走廊","tsáu-lông"
"走路","tsáu-lōo"
"走漏","tsáu-lāu"
"走精","tsáu-tsing"
"走標","tsáu-pio"
"走縒","tsáu-tsua̍h"
"走學","tsáu-o̍h"
"足","tsiok"
"身","sian"
"身","sin"
"身上","sin--siōng"
"身心","sin-sim"
"身世","sin-sè"
"身份","sin-hūn"
"身材","sin-tsâi"
"身命","sin-miā"
"身屍","sin-si"
"身段","sin-tuānn"
"身為","sin-uî"
"身價","sin-kè"
"身影","sin-iánn"
"身軀","sin-khu"
"身軀邊","sin-khu-pinn"
"身邊","sin-pinn"
"身懸","sin-kuân"
"身體","sin-thé"
"辛","sin"
"辛","Sin"
"辛亥","Sin-hāi"
"辛苦","sin-khóo"
"辛苦病疼","sin-khóo-pēnn-thiànn"
"辛苦病疼","sin-khóo-pīnn-thiànn"
"辛勞","sin-lô"
"迌","thô"
"迎","giâ"
"迎","gîng"
"迎","ngiâ"
"迎神","ngiâ-sîn"
"迎接","gîng-tsiap"
"迎新棄舊","ngiâ-sin-khì-kū"
"迎鬧熱","ngiâ-lāu-jia̍t"
"迎鬧熱","ngiâ-lāu-lia̍t"
"迎戰","gîng-tsiàn"
"迎燈","ngiâ-ting"
"近","kīn"
"近","kūn"
"近山剉無柴，近溪擔無水。","Kīn suann tshò bô tshâ, kīn khe tann bô tsuí."
"近日","kīn-ji̍t"
"近日","kūn-li̍t"
"近水知魚性，近山識鳥音。","Kīn suí ti gû sìng, kīn san sik niáu im."
"近代","kīn-tāi"
"近代","kūn-tāi"
"近年","kīn-nî"
"近年","kūn-nî"
"近來","kīn-lâi"
"近來","kūn-lâi"
"近倚","kīn-uá"
"近倚","kūn-uá"
"近視","kīn-sī"
"近視","kūn-sī"
"近期","kīn-kî"
"近期","kūn-kî"
"近廟欺神","kīn-biō-khi-sîn"
"近廟欺神","kūn-biō-khi-sîn"
"近廟欺神。","Kīn biō khi sîn."
"近親","kīn-tshin"
"近親","kūn-tshin"
"迒","hānn"
"返","huán"
"邑","ip"
"邱","Khu"
"邵","Siō"
"邸","tí"
"酉","iú"
"阻","tsóo"
"阻力","tsóo-li̍k"
"阻止","tsóo-tsí"
"阻隔","tsóo-keh"
"阻擋","tsóo-tòng"
"阻礙","tsóo-gāi"
"阿","a"
"阿","o"
"阿","oo"
"阿丈","a-tiūnn"
"阿公","a-kong"
"阿公店","A-kong-tiàm"
"阿公店溪","A-kong-tiàm-khe"
"阿不倒仔","a-put-tó-á"
"阿兄","a-hiann"
"阿母","a-bú"
"阿西","a-se"
"阿伯","a-peh"
"阿妗","a-kīm"
"阿姊","a-tsí"
"阿沙不魯","a-sa-puh-luh"
"阿里山","A-lí-san"
"阿里山","A-lí-san"
"阿里山林業鐵路","A-lí-san Lîm-gia̍p Thih-lōo"
"阿里山鄉","A-lí-san-hiong"
"阿里不達","a-lí-put-ta̍t"
"阿里港","A-lí-káng"
"阿里關","A-lí-kuan"
"阿里壟","A-lí-lóng"
"阿叔","a-tsik"
"阿叔仔","a-tsik-á"
"阿姆","a-ḿ"
"阿姑","a-koo"
"阿爸","a-pah"
"阿舍","a-sià"
"阿舍囝","a-sià-kiánn"
"阿姨","a-î"
"阿祖","a-tsóo"
"阿娘","a-niâ"
"阿桑","a-sáng"
"阿爹","a-tia"
"阿啄仔","a-tok-á"
"阿婆","a-pô"
"阿嫂","a-só"
"阿猴","A-kâu"
"阿嗹社","A-lian-siā"
"阿媽","a-má"
"阿罩霧","A-tà-bū"
"阿舅","a-kū"
"阿蓮區","A-lian-khu"
"阿彌陀佛","Oo-mí-tôo-hu̍t"
"阿嬸","a-tsím"
"陀","tôo"
"附","hù"
"附","hū"
"附加","hù-ka"
"附近","hù-kīn"
"附近","hù-kūn"
"附帶","hù-tài"
"附設","hù-siat"
"附錄","hù-lo̍k"
"附屬","hù-sio̍k"
"更","kenn"
"更","king"
"更","kìng"
"更","kinn"
"更加","kìng-ka"
"更正","king-tsìng"
"更生","king-sing"
"更年期","king-liân-kî"
"更改","king-kái"
"更新","king-sin"
"車","ki"
"車","ku"
"車","tshia"
"車心","tshia-sim"
"車手","tshia-tshiú"
"車斗","tshia-táu"
"車主","tshia-tsú"
"車仔","tshia-á"
"車仔針","tshia-á-tsiam"
"車仔線","tshia-á-suànn"
"車布邊","tshia pòo-pinn"
"車母","tshia-bó"
"車母","tshia-bú"
"車行","tshia-hâng"
"車位","tshia-uī"
"車身","tshia-sin"
"車況","tshia-hóng"
"車門","tshia-mn̂g"
"車前草","ki-tsiân-tsháu"
"車前草","ku-tsiân-tsháu"
"車型","tshia-hîng"
"車城鄉","Tshâ-siânn-hiong"
"車後斗","tshia-āu-táu"
"車迷","tshia-bê"
"車埕","Tshia-tiânn"
"車展","tshia-tián"
"車庫","tshia-khòo"
"車站","tshia-tsām"
"車商","tshia-siong"
"車票","tshia-phiò"
"車隊","tshia-tuī"
"車頂","tshia-tíng"
"車單","tshia-tuann"
"車廂","tshia-siunn"
"車掌","tshia-tsióng"
"車款","tshia-khuán"
"車殼","tshia-khak"
"車牌","tshia-pâi"
"車禍","tshia-hō"
"車窗","tshia-thang"
"車道","tshia-tō"
"車號","tshia-hō"
"車鼓戲","tshia-kóo-hì"
"車路","tshia-lōo"
"車種","tshia-tsióng"
"車價","tshia-kè"
"車廠","tshia-tshiúnn"
"車輛","tshia-lióng"
"車輪","tshia-lián"
"車擋","tshia-tòng"
"車燈","tshia-ting"
"車錢","tshia-tsînn"
"車頭","tshia-thâu"
"車幫","tshia-pang"
"車體","tshia-thé"
"串","tshǹg"
"串","tshuàn"
"串仔","tshǹg-á"
"串通","tshuàn-thong"
"串講","tshuàn-kóng"
"串聯","tshuàn-liân"
"卵","luán"
"卵","nn̄g"
"卵仁","nn̄g-jîn"
"卵仁","nn̄g-lîn"
"卵包","nn̄g-pau"
"卵白質","nn̄g-pe̍h-tsit"
"卵巢","nn̄g-tsâu"
"卵清","nn̄g-tshing"
"卵殼","nn̄g-khak"
"冷","líng"
"冷","Líng"
"冷水","líng-tsuí"
"冷吱吱","líng-ki-ki"
"冷門","líng-mn̂g"
"冷風","líng-hong"
"冷凍","líng-tòng"
"冷氣","líng-khì"
"冷淡","líng-tām"
"冷清","líng-tshing"
"冷漠","líng-bo̍k"
"冷嗽","líng-sàu"
"冷盤","líng-puânn"
"冷戰","líng-tsiàn"
"冷靜","líng-tsīng"
"弄","lāng"
"弄","lōng"
"弄狗相咬","lōng-káu-sio-kā"
"弄風","lāng-hong"
"弄喙花","lāng-tshuì-hue"
"弄新娘","lāng-sin-niû"
"弄獅","lāng-sai"
"弄龍","lāng-lîng"
"弄鐃","lāng-lâu"
"牢","lô"
"牢","tiâu"
"牢鼎","tiâu-tiánn"
"牢腹","tiâu-pak"
"辰","sîn"
"辰","Sîn"
"沈","sím"
"沈","Sím"
"良","liông"
"良心","liông-sim"
"良好","liông-hó"
"良性","liông-sìng"
"良知","liông-ti"
"呂","lī"
"呂","Lī"
"呂","lū"
"呂","lū"
"呂","Lū"
"呂洞賓","Lī Tōng-pin"
"呂洞賓","Lū Tōng-pin"
"尿","jiō"
"尿","liō"
"尿斗","jiō-táu"
"尿斗","liō-táu"
"尿帕仔","jiō-phè-á"
"尿帕仔","liō-phè-á"
"尿苴仔","jiō-tsū-á"
"尿苴仔","liō-tsū-á"
"尿苴仔𩛩","jiō-tsū-á-kauh"
"尿苴仔𩛩","liō-tsū-á-kauh"
"尿桶","jiō-tháng"
"尿桶","liō-tháng"
"尿桸","jiō-hia"
"尿桸","liō-hia"
"尿壺","jiō-ôo"
"尿壺","liō-ôo"
"尿道","jiō-tō"
"尿道","liō-tō"
"尿滓","jiō-tái"
"尿滓","liō-tái"
"利","lāi"
"利","lī"
"利市","lī-tshī"
"利用","lī-iōng"
"利尿","lī-jiō"
"利尿","lī-liō"
"利便","lī-piān"
"利害","lī-hāi"
"利息","lī-sik"
"利純","lī-sûn"
"利益","lī-ik"
"利率","lī-lu̍t"
"利劍劍","lāi-kiàm-kiàm"
"利潤","lī-jūn"
"利潤","lī-lūn"
"李","lí"
"李","Lí"
"李仔","lí-á"
"李仔攕","lí-á-tshiám"
"李仔鹹","lí-á-kiâm"
"李石樵美術館","Lí Tsio̍h-tsiâu Bí-su̍t-kuán"
"里","lí"
"里民","lí-bîn"
"里長","lí-tiúnn"
"里港鄉","Lí-káng-hiong"
"吝","līn"
"見","kiàn"
"見","kìnn"
"見功效","kìnn-kong-hāu"
"見本","kiàn-pún"
"見怪","kiàn-kuài"
"見若","kiàn-nā"
"見面","kìnn-bīn"
"見效","kiàn-hāu"
"見笑","kiàn-siàu"
"見笑代","kiàn-siàu-tāi"
"見笑草","kiàn-siàu-tsháu"
"見笑轉受氣。","Kiàn-siàu tńg siū-khì."
"見習","kiàn-si̍p"
"見解","kiàn-kái"
"見擺","kiàn-pái"
"見證","kiàn-tsìng"
"見識","kiàn-sik"
"㧒","hiat"
"䀐","siam"
"並","phīng"
"並","pīng"
"並且","pīng-tshiánn"
"乖","kuai"
"乖巧","kuai-khá"
"乳","jú"
"乳","lú"
"乳名","jú-miâ"
"乳名","lú-miâ"
"事","sū"
"事","tāi"
"事主","sū-tsú"
"事件","sū-kiānn"
"事先","sū-sian"
"事事項項","sū-sū-hāng-hāng"
"事宜","sū-gî"
"事物","sū-bu̍t"
"事後","sū-āu"
"事故","sū-kòo"
"事務","sū-bū"
"事務所","sū-bū-sóo"
"事理","sū-lí"
"事項","sū-hāng"
"事業","sū-gia̍p"
"事實","sū-si̍t"
"事蹟","sū-tsik"
"亞","a"
"亞太","A-thài"
"亞東醫院","A-tang Pēnn-īnn"
"亞東醫院","A-tang Pīnn-īnn"
"亞洲","A-tsiu"
"亞軍","a-kun"
"亞運","A-ūn"
"亞鉛","a-iân"
"亞鉛鉼","a-iân-phiánn"
"亞鉛線","a-iân-suànn"
"享","hiáng"
"享","hióng"
"享用","hiáng-iōng"
"享有","hiáng-iú"
"享受","hiáng-siū"
"享福","hiáng-hok"
"京","kiann"
"京","king"
"京戲","kiann-hì"
"佩","phuè"
"佩","puē"
"佩服","puē-ho̍k"
"佬","láu"
"佬","ló"
"佬仔","láu-á"
"佮","kah"
"佮","kap"
"佮股","kap-kóo"
"佮喙","kah-tshuì"
"佮意","kah-ì"
"佯","tènn"
"佯","tìnn"
"佯毋知","tènn-m̄-tsai"
"佯毋知","tìnn-m̄-tsai"
"佯生","tènn-tshenn"
"佯生","tìnn-tshinn"
"佯痟","tènn-siáu"
"佯痟","tìnn-siáu"
"佯顛佯戇","tènn-tian-tènn-gōng"
"佯顛佯戇","tìnn-tian-tìnn-gōng"
"佯戇","tènn-gōng"
"佯戇","tìnn-gōng"
"佳","ka"
"佳人","ka-jîn"
"佳人","ka-lîn"
"佳冬","Ka-tang"
"佳冬鄉","Ka-tang-hiong"
"佳作","ka-tsok"
"佳里區","Ka-lí-khu"
"佳哉","ka-tsài"
"佳音","ka-im"
"佳期","ka-kî"
"併","pìng"
"併發症","pìng-huat-tsìng"
"使","sái"
"使","sài"
"使","sú"
"使","sù"
"使用","sú-iōng"
"使用人","sú-iōng-lâng"
"使目尾","sái-ba̍k-bé"
"使目尾","sái-ba̍k-bué"
"使目箭","sái-ba̍k-tsìnn"
"使弄","sái-lōng"
"使命","sú-bīng"
"使性地","sái-sìng-tē"
"使性地","sái-sìng-tuē"
"侍","sāi"
"侍","sū"
"侍候","sū-hāu"
"侗","tòng"
"侗戇","tòng-gōng"
"供","king"
"供","kìng"
"供","kiong"
"供給","kiong-kip"
"供應","kiong-ìng"
"供體","king-thé"
"依","i"
"依附","i-hù"
"依法","i-huat"
"依倚","i-uá"
"依照","i-tsiàu"
"依據","i-kì"
"依據","i-kù"
"依賴","i-nāi"
"侹","thiānn"
"兒","jî"
"兒","lî"
"兔","thòo"
"兔仔","thòo-á"
"兔仔尾","thòo-á-bé"
"兔仔尾","thòo-á-bué"
"其","kî"
"其中","kî-tiong"
"其他","kî-thann"
"其次","kî-tshù"
"其實","kî-si̍t"
"具","khū"
"具","kū"
"具備","kū-pī"
"具體","kū-thé"
"典","tián"
"典型","tián-hîng"
"典雅","tián-ngá"
"典範","tián-huān"
"典藏","tián-tsông"
"典禮","tián-lé"
"函","hâm"
"函數","hâm-sòo"
"刮","khe"
"刮","kuat"
"刮","kueh"
"刮","kuih"
"到","kàu"
"到","tàu"
"到","tò"
"到今","kàu-tann"
"到分","kàu-hun"
"到手芳","tò-tshiú-phang"
"到地","kàu-tè"
"到位","kàu-uī"
"到尾","kàu-bé"
"到尾","kàu-bué"
"到底","tàu-té"
"到底","tàu-tué"
"到時","kàu-sî"
"到站","kàu-tsām"
"到期","kàu-kî"
"制","tsè"
"制式","tsè-sik"
"制定","tsè-tīng"
"制服","tsè-ho̍k"
"制度","tsè-tōo"
"制裁","tsè-tshâi"
"制憲","tsè-hiàn"
"刷","suat"
"券","kǹg"
"券","kuàn"
"券商","kuàn-siong"
"刻","khik"
"刻印仔","khik-ìn-á"
"刻板","khik-pán"
"刻薄","khik-po̍k"
"剁","tok"
"匼","khap"
"卑","pi"
"卑南","Pi-lâm"
"卑南主山","Pi-lâm-tsú-suann"
"卑南鄉","Pi-lâm-hiong"
"卑南溪","Pi-lâm-khe"
"卑鄙","pi-phí"
"卑賤","pi-tsiān"
"卒","tsut"
"卒仔","tsut-á"
"卓","toh"
"卓","Toh"
"卓","tok"
"卓溪鄉","Toh-khe-hiong"
"卓蘭鎮","Toh-lân-tìn"
"協","ha̍h"
"協","hia̍p"
"協力","hia̍p-li̍k"
"協同","hia̍p-tông"
"協助","hia̍p-tsōo"
"協定","hia̍p-tīng"
"協約","hia̍p-iok"
"協商","hia̍p-siong"
"協理","hia̍p-lí"
"協會","hia̍p-huē"
"協調","hia̍p-tiau"
"協辦","hia̍p-pān"
"協議","hia̍p-gī"
"卦","kuà"
"卷","kńg"
"卷","kǹg"
"卷","kuàn"
"卷宗","kuàn-tsong"
"叔","siok"
"叔","tsik"
"叔公","tsik-kong"
"叔伯兄弟","tsik-peh-hiann-tī"
"叔伯姊妹","tsik-peh-tsí-bē"
"叔伯姊妹","tsik-peh-tsí-muē"
"叔伯的","tsik-peh--ê"
"叔孫","tsik-sun"
"取","tshú"
"取代","tshú-tāi"
"取消","tshú-siau"
"取得","tshú-tit"
"取景","tshú-kíng"
"取締","tshú-tè"
"受","siū"
"受刑人","siū-hîng-jîn"
"受刑人","siū-hîng-lîn"
"受困","siū-khùn"
"受苦","siū-khóo"
"受限","siū-hān"
"受袂起","siū-bē-khí"
"受袂起","siū-buē-khí"
"受害","siū-hāi"
"受害者","siū-hāi-tsiá"
"受氣","siū-khì"
"受訓","siū-hùn"
"受託人","siū-thok-jîn"
"受託人","siū-thok-lîn"
"受益","siū-ik"
"受教","siū-kàu"
"受理","siū-lí"
"受債","siū-tsè"
"受傷","siū-siong"
"受當袂起","siū-tong-bē-khí"
"受當袂起","siū-tong-buē-khí"
"受罪","siū-tsuē"
"受難","siū-lān"
"受騙","siū-phiàn"
"呢","ne"
"呢","neh"
"呢","nî"
"呢","nih"
"呧","ti"
"周","tsiu"
"周","Tsiu"
"周刊","tsiu-khan"
"周全","tsiu-tsuân"
"周至","tsiu-tsì"
"周到","tsiu-tò"
"周密","tsiu-bi̍t"
"周圍","tsiu-uî"
"周詳","tsiu-siông"
"周轉","tsiu-tsuán"
"周邊","tsiu-pinn"
"呱","kuā"
"味","bī"
"味素","bī-sòo"
"味素粉","bī-sòo-hún"
"味覺","bī-kak"
"呴","ku"
"呵","o"
"呵咾","o-ló"
"呵咾甲會觸舌。","O-ló kah ē tak-tsi̍h."
"呸","phuì"
"呸血","phuì-hueh"
"呸血","phuì-huih"
"呸面","phuì-bīn"
"呸痰","phuì-thâm"
"呸瀾","phuì-nuā"
"呻","sin"
"呻","tshan"
"呼","honn"
"呼","hoo"
"呼","khoo"
"呼叫","hoo-kiò"
"呼音","hoo-im"
"呼蛋","khoo-tuann"
"呼噓仔","khoo-si-á"
"呼噎仔","khoo-uh-á"
"呼請","hoo-tshiánn"
"呼觱仔","khoo-pi-á"
"呼應","hoo-ìng"
"呼聲","hoo-siann"
"呼籲","hoo-io̍k"
"命","bīng"
"命","miā"
"命令","bīng-līng"
"命案","miā-àn"
"命理","miā-lí"
"命運","miā-ūn"
"命題","bīng-tê"
"命題","bīng-tuê"
"呾","tànn"
"呿","khuh"
"呿呿嗽","khuh-khuh-sàu"
"咂","tsa̍p"
"咂咂叫","tsa̍p-tsa̍p-kiò"
"咇","phi̍h"
"咇咇掣","phi̍h-phi̍h-tshuah"
"咇噗跳","phi̍h-pho̍k-thiàu"
"和","hām"
"和","hô"
"和","hō"
"和","huê"
"和仁","Hô-jîn"
"和平","hô-pîng"
"和平","Hô-pîng"
"和平區","Hô-pîng-khu"
"和平溪","Hô-pîng-khe"
"和好","hô-hó"
"和尚","huê-siūnn"
"和尚洲","Huê-siūnn-tsiu"
"和尚頭掠蝨母。","Huê-siūnn thâu lia̍h sat-bó."
"和美鎮","Hô-bí-tìn"
"和氣","hô-khì"
"和順","hô-sūn"
"和睦","hô-bo̍k"
"和解","hô-kái"
"和齊","hô-tsê"
"和齊","hô-tsuê"
"和諧","hô-hâi"
"咍","hai"
"咎","kiū"
"咐","hù"
"咒","tsiù"
"咒誓","tsiù-tsuā"
"咒罵","tsiù-mā"
"咒罵","tsiù-mē"
"咒讖","tsiù-tshàm"
"咖","ka"
"咖哩","ka-lí"
"咖哩嗹囉","ka-lí-liân-lô"
"咖啡","ka-pi"
"咖啡色","ka-pi-sik"
"哎","ai"
"哎","aih"
"哎喲喂","ai-iō-uê"
"囷","khûn"
"固","kòo"
"固定","kòo-tīng"
"固執","kòo-tsip"
"固然","kòo-jiân"
"固然","kòo-liân"
"坡","pho"
"坤","khun"
"坦","thán"
"坦","thánn"
"坦白","thán-pi̍k"
"坦直","thán-ti̍t"
"坦倒","thán-tó"
"坦笑","thán-tshiò"
"坦徛","thán-khiā"
"坦斜","thán-tshua̍h"
"坦敧","thán-khi"
"坦敧身","thán-khi-sin"
"坦然","thán-jiân"
"坦然","thán-liân"
"坦橫","thán-huâinn"
"坦橫","thán-huînn"
"坦覆","thán-phak"
"坩","khann"
"坩仔","khann-á"
"坪","pênn"
"坪","phiânn"
"坪","phîng"
"坪","pînn"
"坪林尾","Pînn-nâ-bé"
"坪林區","Pînn-nâ-khu"
"坪數","pênn-sòo"
"坪數","pînn-sòo"
"坯","phe"
"坯","phue"
"坱","ing"
"坱埃","ing-ia"
"坵","khu"
"坷","khia̍t"
"垂","sê"
"垂","suê"
"垂","suî"
"垂肩","suê-king"
"垃","lâ"
"垃","lah"
"垃圾","lah-sap"
"垃圾鬼","lah-sap-kuí"
"垃圾話","lah-sap-uē"
"垃儳","lâ-sâm"
"夜","iā"
"夜市","iā-tshī"
"夜色","iā-sik"
"夜婆","iā-pô"
"夜景","iā-kíng"
"夜間","iā-kan"
"夜間部","iā-kan-pōo"
"夜勤","iā-khîn"
"夜勤","iā-khûn"
"夜總會","iā-tsóng-huē"
"奅","phānn"
"奇","khia"
"奇","kî"
"奇幻","kî-huàn"
"奇巧","kî-khá"
"奇妙","kî-miāu"
"奇岩","Kî-giâm"
"奇怪","kî-kuài"
"奇武卒","Kî-bú-tsut"
"奇美","Kî-bí"
"奇萊主山北峰","Kî-lâi-tsú-suann-pak-hong"
"奇異","kî-ī"
"奇數","khia-sòo"
"奇蹟","kî-tsik"
"奉","hōng"
"奉天宮","Hōng-thian-kiong"
"奉待","hōng-thāi"
"奉送","hōng-sàng"
"奉茶","hōng-tê"
"奉勸","hōng-khǹg"
"奉獻","hōng-hiàn"
"奔","phun"
"奔走","phun-tsáu"
"奔波","phun-pho"
"妮","nî"
"妲","thán"
"妹","bē"
"妹","muē"
"妹婿","bē-sài"
"妹婿","muē-sài"
"妻","tshe"
"妻舅","tshe-kū"
"妾","tshiap"
"姆","ḿ"
"姆仔","ḿ--á"
"姆婆","ḿ-pô"
"始","sí"
"始","sú"
"姐","tsiá"
"姐母","Tsiá-bó"
"姑","koo"
"姑丈","koo-tiūnn"
"姑不而將","koo-put-jî-tsiong"
"姑不而將","koo-put-lî-tsiong"
"姑不將","koo-put-tsiong"
"姑表","koo-piáu"
"姑姨","koo-î"
"姑娘","koo-niû"
"姑婆","koo-pô"
"姑情","koo-tsiânn"
"姑換嫂","koo-uānn-só"
"姑爺","koo-iâ"
"姓","sènn"
"姓","sìng"
"姓","sìnn"
"姓名","sènn-miâ"
"姓名","sìnn-miâ"
"委","uí"
"委任","uí-jīm"
"委任","uí-līm"
"委屈","uí-khut"
"委員","uí-uân"
"委託","uí-thok"
"孟","bīng"
"孟","Bīng"
"季","kuì"
"季","Kuì"
"季刊","kuì-khan"
"季軍","kuì-kun"
"季節","kuì-tseh"
"季節","kuì-tsueh"
"孤","koo"
"孤毛","koo-moo"
"孤毛","koo-môo"
"孤毛絕種","koo-moo-tse̍h-tsíng"
"孤立","koo-li̍p"
"孤囝","koo-kiánn"
"孤佬","koo-láu"
"孤兒","koo-jî"
"孤兒","koo-lî"
"孤查某囝","koo-tsa-bóo-kiánn"
"孤鳥","koo-tsiáu"
"孤單","koo-tuann"
"孤棚","koo-pênn"
"孤棚","koo-pînn"
"孤跤手","koo-kha-tshiú"
"孤獨","koo-ta̍k"
"孤獨","koo-to̍k"
"孤孀","koo-sng"
"孤𣮈","koo-khu̍t"
"孤𣮈絕種","koo-khu̍t-tse̍h-tsíng"
"宕","thōng"
"宗","tsong"
"宗旨","tsong-tsí"
"宗祠","tsong-sû"
"宗教","tsong-kàu"
"宗親","tsong-tshin"
"官","kuan"
"官","kuann"
"官方","kuann-hong"
"官司","kuann-si"
"官田區","Kuann-tiān-khu"
"官田溪","Kuann-tiān-khe"
"官佃","Kuann-tiān"
"官兵","kuann-ping"
"官員","kuann-uân"
"官場","kuann-tiûnn"
"官話","kuann-uē"
"官僚","kuann-liâu"
"官職","kuann-tsit"
"官廳","kuann-thiann"
"宙","tiū"
"定","tiānn"
"定","tīng"
"定去","tiānn--khì"
"定光佛廟","Tīng-kong-hu̍t-biō"
"定存","tīng-tsûn"
"定位","tīng-uī"
"定定","tiānn-tiānn"
"定居","tīng-ki"
"定居","tīng-ku"
"定性","tīng-sìng"
"定金","tiānn-kim"
"定律","tīng-lu̍t"
"定時","tīng-sî"
"定案","tīng-àn"
"定速","tīng-sok"
"定做","tiānn-tsò"
"定做","tiānn-tsuè"
"定著","tiānn-tio̍h"
"定貨","tiānn-hè"
"定貨","tiānn-huè"
"定期","tīng-kî"
"定罪","tīng-tsuē"
"定義","tīng-gī"
"定銀","tiānn-gîn"
"定銀","tiānn-gûn"
"定價","tīng-kè"
"定論","tīng-lūn"
"定親","tīng-tshin"
"定點","tīng-tiám"
"定額","tīng-gia̍h"
"宛","uán"
"宛然","uán-jiân"
"宛然","uán-liân"
"宜","gî"
"宜蘭","Gî-lân"
"宜蘭市","Gî-lân-tshī"
"宜蘭河","Gî-lân-hô"
"宜蘭縣","Gî-lân-kuān"
"尚","sióng"
"尚","siōng"
"尚","Siōng"
"尚","siūnn"
"屄","bai"
"居","ki"
"居","ku"
"居","ku"
"居民","ki-bîn"
"居民","ku-bîn"
"屆","kài"
"屈","khut"
"屈服","khut-ho̍k"
"岡","kong"
"岡山","Kong-san"
"岡山區","Kong-san-khu"
"岩","gâm"
"岩","giâm"
"岩石","gâm-tsio̍h"
"岫","siū"
"岳","ga̍k"
"岳","Ga̍k"
"岸","gān"
"岸","huānn"
"岸邊","huānn-pinn"
"帕","phè"
"帕仔","phè-á"
"帖","thiap"
"帖仔","thiap-á"
"帙","tia̍t"
"帚","tshiú"
"帛","pe̍h"
"帛","pi̍k"
"幸","hīng"
"幸運","hīng-ūn"
"幸福","hīng-hok"
"幸福","Hīng-hok"
"底","té"
"底","tī"
"底","tué"
"底片","té-phìnn"
"底片","tué-phìnn"
"底代","tī-tāi"
"底系","té-hē"
"底系","tué-hē"
"底時","tī-sî"
"底部","té-pōo"
"底部","tué-pōo"
"底細","té-sè"
"底細","tué-suè"
"底蒂","té-tì"
"底蒂","tué-tì"
"底當時","tī-tang-sî"
"底價","té-kè"
"底價","tué-kè"
"底盤","té-puânn"
"底盤","tué-puânn"
"底線","té-suànn"
"底線","tué-suànn"
"底薪","té-sin"
"底薪","tué-sin"
"店","tiàm"
"店主","tiàm-tsú"
"店仔","tiàm-á"
"店仔口","Tiàm-á-kháu"
"店長","tiàm-tiúnn"
"店面","tiàm-bīn"
"店員","tiàm-uân"
"店號","tiàm-hō"
"店頭","tiàm-thâu"
"店頭家","tiàm-thâu-ke"
"庚","kenn"
"庚","king"
"庚","kinn"
"府","hú"
"府中","Hú-tiong"
"府城","Hú-siânn"
"建","kiàn"
"建立","kiàn-li̍p"
"建材","kiàn-tsâi"
"建材行","kiàn-tsâi-hâng"
"建言","kiàn-giân"
"建物","kiàn-bu̍t"
"建造","kiàn-tsō"
"建商","kiàn-siong"
"建設","kiàn-siat"
"建照","kiàn-tsiàu"
"建置","kiàn-tì"
"建構","kiàn-kòo"
"建築","kiàn-tio̍k"
"建議","kiàn-gī"
"弦","hiân"
"弦樂","hiân-ga̍k"
"弧","hôo"
"彼","he"
"彼","hit"
"彼","pí"
"彼一日","hit-tsi̍t-ji̍t"
"彼一日","hit-tsi̍t-li̍t"
"彼个","hit ê"
"彼爿","hit pîng"
"彼陣","hit-tsūn"
"彼時","hit-sî"
"彼站","hit-tsām"
"彼搭","hit-tah"
"彼款","hit khuán"
"彼當陣","hit-tang-tsūn"
"彼號","hit-lō"
"彼跡","hit-jiah"
"彼跡","hit-liah"
"彼頭","hit-thâu"
"彼擺","hit pái"
"彿","hut"
"往","íng"
"往","óng"
"往日","óng-ji̍t"
"往日","óng-li̍t"
"往生","óng-sing"
"往回的","óng-hê--ê"
"往回的","óng-huê--ê"
"往年","óng-nî"
"往事","óng-sū"
"往往","íng-íng"
"往來","óng-lâi"
"往時","íng-sî"
"往過","íng-kè"
"往過","íng-kuè"
"往診","óng-tsín"
"往復","óng-ho̍k"
"往擺","íng-pái"
"征","tsing"
"征服","tsing-ho̍k"
"忝","thiám"
"忝頭","thiám-thâu"
"忠","tiong"
"忠孝敦化","Tiong-hàu Tun-huà"
"忠孝復興","Tiong-hàu Ho̍k-hing"
"忠孝新生","Tiong-hàu Sin-sing"
"忠直","tiong-ti̍t"
"忠厚","tiong-hōo"
"忠義","Tiong-gī"
"忠誠","tiong-sîng"
"忠實","tiong-si̍t"
"忽","hut"
"忽視","hut-sī"
"忽略","hut-lio̍k"
"忽然","hut-jiân"
"忽然","hut-liân"
"忿","hún"
"怏","ǹg"
"怐","khòo"
"怐怐","khòo-khòo"
"怕","phà"
"怖","pòo"
"怙","kōo"
"怡","î"
"怦","phēnn"
"怦怦喘","phēnn-phēnn-tshuán"
"性","sènn"
"性","sìng"
"性","sìnn"
"性地","sìng-tē"
"性地","sìng-tuē"
"性別","sìng-pia̍t"
"性命","sènn-miā"
"性命","sìnn-miā"
"性格","sìng-keh"
"性能","sìng-lîng"
"性情","sìng-tsîng"
